DED_ID,X,Y,DiffAdd,LARent,SC1,Unempl,LowEduc,Age18_24,Age25_44,Age45_64,GenEl2004
2001,314791.6914,235243.9827,22.086331,16.208791,8.561151,8.009709,0.6,24.172662,39.568345,12.302158,48.891353
2002,314417.7765,234933.7849,23.599871,22.38806,7.898996,12.126156,0.585586,21.884105,45.483975,15.118161,41.010943
2003,314253.1357,234162.8824,33.515789,75.438596,10.610526,8.940201,0.522648,28.042105,49.684211,9.389474,45.035461
2004,313676.5355,234506.9246,13.959184,37.298637,5.469388,15.185602,0.698758,14.666667,39.292517,16.571429,52.616822
2005,313956.8117,234737.2759,13.886975,13.61587,6.960717,13.021807,0.579581,11.957271,38.042729,19.469331,57.308684
2006,311883.3692,236758.3548,6.49846,1.668255,6.043714,2.882353,0.193632,11.88206,33.871204,17.001614,65.609349
2007,311839.1584,236191.5128,11.162255,0.574713,5.75374,4.458109,1.584943,3.030303,31.41542,20.675105,64.785992
2008,320889.979,239732.8611,4.718024,2.407153,2.635459,6.143573,0.055788,19.830446,28.345006,25.359381,53.068759
2009,316809.4418,235404.7301,6.918052,58.9309,2.167458,20.055134,0.866788,6.680523,30.938242,18.438242,49.115914
2010,316153.1704,235576.2104,15.353938,24.390244,3.855101,19.751472,0.884544,17.547358,38.983051,16.085078,49.126092
2011,313550.0953,238104.0119,4.502286,8.631319,2.286317,8.67679,0.544366,16.109743,29.933169,20.400985,53.308129
2012,314111.0416,238437.8208,4.006869,12.227806,2.34688,6.25,0.298507,3.262736,26.559817,17.916428,59.803279
2013,314940.8144,238228.8607,8.159493,4.859335,4.119356,4.667382,0.761509,14.576182,25.587536,25.90441,64.242424
2014,314328.2029,237811.8815,5.058043,2.247191,3.192371,5.960265,0.1693,9.86733,29.063018,22.802653,59.709443
2015,314149.4581,240012.3809,4.31746,39.33518,0.634921,19.035533,0.285171,20.444444,24.761905,27.174603,40.865026
2016,314862.1129,240068.9722,2.938272,75.74048,0.814815,29.151061,1.203783,16.716049,26.641975,19.679012,35.838369
2017,315854.7998,239553.9564,4.291045,99.23913,1.204206,20.731201,0.700321,13.127544,28.680461,17.164179,43.613139
2018,315081.2595,239350.1983,3.421336,100,0.484914,25.747508,0.912997,6.573276,30.49569,11.610991,35.648818
2019,314961.3652,239117.5561,5.243446,0.357143,5.742821,4.72103,0.414938,4.057428,25.156055,20.724095,59.31418
2020,314070.1252,239299.852,5.090498,0.573394,4.374057,4.848485,0.260824,14.177979,26.847662,23.680241,65.817023
